Agency,count
DOT,71600
HPD,296711
DPR,22786
TLC,10658
EDC,6835
NYPD,507217
DOB,30525
DEP,54489
NYC311-PRD,163
DOHMH,25826
DSNY,102347
DCWP,5240
DHS,11025
OTI,88
DOE,426
